schoolKey,schoolId,schoolName,sourceZone,schoolDataMonth,sensitiveAreaIds,sensitiveAreaTypes,sensitiveAreaNames,sensitiveAreaCount,longitude,latitude,analysisPredicate,analysisRole
NLSC-121-1804,1804,臺中市立臺中第二高級中等學校1,121,202201,G0005,地下水補注地質敏感區,臺中盆地,1,120.6760636,24.1532367,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1455,1455,臺中市立萬和國民中學,121,201710,G0005,地下水補注地質敏感區,臺中盆地,1,120.6402786,24.1340155,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2305,2305,臺中市立西苑高級中學,121,202401,G0005,地下水補注地質敏感區,臺中盆地,1,120.6429055,24.1862137,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2575,2575,臺中市立豐南國民中學,121,201509,G0005,地下水補注地質敏感區,臺中盆地,1,120.7172063,24.2398655,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2620,2620,臺中市立豐原商業高級中等學校,121,202201,G0005,地下水補注地質敏感區,臺中盆地,1,120.7136710,24.2462067,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2762,2762,臺中市立豐原國民中學,121,201308,G0005,地下水補注地質敏感區,臺中盆地,1,120.7190371,24.2609475,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2728,2728,臺中市立豐原高級中等學校,121,201910,G0005,地下水補注地質敏感區,臺中盆地,1,120.7420954,24.2571160,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2635,2635,臺中市立豐東國民中學,121,201712,G0005,地下水補注地質敏感區,臺中盆地,1,120.7290084,24.2476491,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2767,2767,臺中市立豐陽國民中學,121,201712,G0005,地下水補注地質敏感區,臺中盆地,1,120.7450401,24.2619530,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1267,1267,臺中市立長億高級中學,121,201509,G0005,地下水補注地質敏感區,臺中盆地,1,120.7207889,24.1129694,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1286,1286,臺中市立長億高級中學第二校區,121,202401,G0005,地下水補注地質敏感區,臺中盆地,1,120.7219627,24.1147505,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1821,1821,臺中市立雙十國民中學,121,201509,G0005,地下水補注地質敏感區,臺中盆地,1,120.6917229,24.1532356,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2612,2612,臺中市立鹿寮國民中學,121,201707,F0012,活動斷層地質敏感區,大甲斷層,1,120.5668323,24.2448131,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1886,1886,臺中市立黎明國民中學,121,201710,G0005,地下水補注地質敏感區,臺中盆地,1,120.6326485,24.1566881,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1773,1773,臺中市西區中正國民小學,121,202401,G0005,地下水補注地質敏感區,臺中盆地,1,120.6665802,24.1517554,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1459,1459,臺中市西區大勇國民小學,121,202201,G0005,地下水補注地質敏感區,臺中盆地,1,120.6583712,24.1341686,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1474,1474,臺中市西區大同國民小學,121,202401,G0005,地下水補注地質敏感區,臺中盆地,1,120.6785242,24.1353356,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1537,1537,臺中市西區忠信國民小學,121,202401,G0005,地下水補注地質敏感區,臺中盆地,1,120.6683836,24.1387926,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
